algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
rgrasp,RC205,RC,2,1201.9566666666665,1171.3,11.046724692721472,6.2,4.1556999999999995,1.499,86035.06666666667,1553.4,9.4,41719.76666666667,39.8608967849864
rgrasp,RC206,RC,2,1079.1,1073.2,1.804018502848802,4.066666666666666,2.6636,2.103,66102.96666666666,1263.4666666666667,8.266666666666667,24113.066666666666,32.1532552103616
rgrasp,RC207,RC,2,1003.45,990.3,7.364582063193893,4.966666666666667,4.211166666666666,2.846,99429.16666666667,1514.6,9.233333333333333,46616.933333333334,41.38606026804299
rgrasp,RC208,RC,2,816.3166666666667,789.3,13.829331231077322,3.966666666666667,5.1819,1.701,71014.46666666666,1373.5,8.533333333333333,29864.1,35.90368281385648
tabu,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0,8636.0,806.0,6.0,33.0,0.38212135247799905
tabu,C102,C,1,827.3,827.3,0.0,10.0,0.0,0.0,4898.0,816.0,16.0,92.0,1.8783176806859943
tabu,C103,C,1,826.3,826.3,0.0,10.0,0.0,0.0,5520.0,1027.0,42.0,1221.0,22.119565217391305
tabu,C104,C,1,822.9,822.9,0.0,10.0,0.0,0.0,9543.0,1662.0,57.0,4936.0,51.72377659017081
tabu,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0,8650.0,806.0,6.0,34.0,0.3930635838150289
tabu,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0,4333.0,812.0,12.0,68.0,1.5693514885760442
tabu,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0,8253.0,806.0,6.0,34.0,0.41197140433781654
