config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
sem:Or-opt,"relocate,swap,twoopt,cross",R108,R,1,1121.2,11,17,20.28752279798305
sem:Swap,"relocate,oropt,twoopt,cross",R108,R,1,1125.8,11,35,20.781032078103202
sem:2-opt,"relocate,oropt,swap,cross",R108,R,1,1121.2,11,30,20.28752279798305
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R108,R,1,1125.1,11,24,20.70593283982404
cumul:Relocate,relocate,R109,R,1,1329.5,14,7,15.921178829889257
cumul:Relocate+Or-opt,"relocate,oropt",R109,R,1,1306.9,14,13,13.950649577120933
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R109,R,1,1278.4,14,21,11.465690121196268
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R109,R,1,1278.4,14,21,11.465690121196268
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R109,R,1,1278.4,14,24,11.465690121196268
sem:Relocate,"oropt,swap,twoopt,cross",R109,R,1,1308.8,14,36,14.116313540849232
sem:Or-opt,"relocate,swap,twoopt,cross",R109,R,1,1288.0,14,16,12.302729095823516
sem:Swap,"relocate,oropt,twoopt,cross",R109,R,1,1278.4,14,31,11.465690121196268
sem:2-opt,"relocate,oropt,swap,cross",R109,R,1,1278.4,14,23,11.465690121196268
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R109,R,1,1278.4,14,21,11.465690121196268
cumul:Relocate,relocate,R110,R,1,1239.0,12,6,16.01123595505618
cumul:Relocate+Or-opt,"relocate,oropt",R110,R,1,1239.0,12,8,16.01123595505618
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R110,R,1,1233.1,12,11,15.458801498127334
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R110,R,1,1233.1,12,11,15.458801498127334
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R110,R,1,1196.2,12,19,12.003745318352065
sem:Relocate,"oropt,swap,twoopt,cross",R110,R,1,1272.3,12,29,19.129213483146064
sem:Or-opt,"relocate,swap,twoopt,cross",R110,R,1,1196.2,12,15,12.003745318352065
sem:Swap,"relocate,oropt,twoopt,cross",R110,R,1,1202.1,12,16,12.55617977528089
sem:2-opt,"relocate,oropt,swap,cross",R110,R,1,1196.2,12,20,12.003745318352065
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R110,R,1,1233.1,12,11,15.458801498127334
